DW_TEMPO;invoice_date;_year;_month;_quarter
7fac75ebf591345a3e8e3af034cc79f4abbd7791bd7a6914314589a43dcefe26;2017-08-02;2017;8;3
0443631e039566dc3e4534cfac2b5af59fcf6644b1480fff8e9f991377215b79;2019-03-13;2019;3;1
ac7c3766379f0f3be39fe1629abfcc6f7aac365a0c1edcce144658509e0ad64a;2017-09-28;2017;9;3
98513fdf9bac7dd32562af36ab01e5b61d47e3e9a7cd4342db5950db48f7d6bb;2018-12-02;2018;12;4
52f1e106bd58f84d3941dcab4dc78f34bede59ce5f028244defb3492d83ddeb2;2018-03-12;2018;3;1
d63c00ed55e83463f218658fe685c6be48ff15894dfb4d9f6348ea2ff9ceaa08;2017-10-27;2017;10;4
064797b996cc0aa323422f245172ae203bf0ac570c19bc7f246c14b4092f76b6;2018-05-01;2018;5;2
4962bc51d285846cb39051f99f61bd8edf4b1f4dc08863282fd240a57225346b;2019-01-13;2019;1;1
79759be58659c48a66530daa064ea6cf775be5739ae1e00468719431255fbac9;2017-01-18;2017;1;1
b565b8076c0fc9055b10b4671be0389d0f65251266a279add48e9b9705436140;2017-05-05;2017;5;2
cdb8a16faea74b4d7480514b730e2966959c011990d86da7a9855a9c8d799793;2017-03-04;2017;3;1
df170947b177de06d7b0a08056fb14feb2410fc39f2e9346efdd8b61953949fb;2017-09-16;2017;9;3
fcdb1136f61de8d51a6268f14091a0daa3298eeda15509002a68bfbbc362ee7b;2018-11-27;2018;11;4
ac73efb5c668b792445acf220865e44fa724d51c42fbc9b72c57114391482418;2017-02-11;2017;2;1
97177a90bdf4e2678278becadc0605ddb7c854855aa17a16ad8c2cc9d75ef097;2018-11-21;2018;11;4
d9e23da3765f60cd446d0fa58311f19ad59f7ddcd96c3a9d661c56c2f1c70383;2018-03-24;2018;3;1
3ef7181db7c96c61d5fa321977c9f40fff17b3ae75be4e199f44469f72c67168;2018-06-30;2018;6;2
c1e3199c5e0175793931dc07d64732e77d7aa6b7e16ef01a82aed53204e75f20;2018-12-10;2018;12;4
e5ee87988fb1fe9bb0cd87b2dff159c8afd7cb5465109a408696f32764f5783a;2018-01-17;2018;1;1
6cc3db68fa20ee1fd84af75e0865b545fbbbbd0e276532eb13afed98815a1e42;2018-05-02;2018;5;2
6066431cb3c9a97c5eb5da3c029eec7ba2699ca5d38bc0828e0a43be09c7e20c;2019-01-07;2019;1;1
a8e4b707f542fd4b46a01ccfa8615c8c983c0152b3b7f08a6390ac79a55921f3;2017-02-03;2017;2;1
095c275cb3367ee9477667637fe13655904e6bd003328f71151e3935d72a459a;2018-11-11;2018;11;4
b95974a087a927358c4aa67f032449f1435567efdf9f9042604e36facd4f4e3a;2017-02-17;2017;2;1
c524940af58058030d68990e287a876a1837f92421e2542bf92c0a0d3f575ba5;2018-01-04;2018;1;1
08866269a61cc3f61c3c5db3603a2eaa4d84caa43a36c42d963a14a8a8498e13;2017-10-21;2017;10;4
84887902c8dbd008ddc6e7a6a79f28027c6cfc7921d773ac881e01f2ec8ac5da;2017-03-11;2017;3;1
fc8c7818caecaa8aa54d7cc796d63a52fae89a5838e3dbc729d7e273660c00ff;2017-10-28;2017;10;4
0d076966b05c63a40f893ee4a1430bbe744ffb8d858beae77fa30963752dee85;2018-05-20;2018;5;2
770f7527699ad4a110bb7449fcdc3a8e6be2edb847167b570a9a92363674f286;2019-02-07;2019;2;1
59851cb4484ac2a1de8cf120cec894619737d19a17b8abe98f88fabc7d0e469d;2017-03-19;2017;3;1
5c7136f5c32153ec4f05464a043e5d331bec3a4c1a97141e4263d183b0c9392b;2017-04-05;2017;4;2
1f445ecf9ccc9b66ba9dc6b43a44f4203b42e01944e47ee0bdc297103f98472f;2018-05-29;2018;5;2
3e58647f1aa8319d39e924c25e833921e15996b201654c48eb543fb80409f54a;2017-07-03;2017;7;3
6d0a26f79617a0b942a017777965a06aa940411da0ec7fd78f372553d63eb35e;2017-12-29;2017;12;4
7eb7b9f7f60787f6b7013f34da7c8f8cfff26562fc9c40aadc7e69c74e42df16;2017-10-19;2017;10;4
db7e3bf6f4ef762455af6635cd7174836de78af9b4b1675d59193aa33a210661;2018-05-15;2018;5;2
6fb235a37b50d650d4c1426651adf9caef19d8463af46a5bd4c7a78d9728a074;2019-01-06;2019;1;1
4af875ad93d965a21195d20cab8861f2b227be7fea4a1955b1ba69691405f986;2018-02-25;2018;2;1
c56c55eca868b4ae32923af7ed9eea06985115fad15b46d18eeba04b21eeb602;2018-10-01;2018;10;4
da4a5b26389e20d02d7371476021b50a221e08466ac63c95daaf97598a726cb7;2019-02-13;2019;2;1
36755e515579274fbba985a791bd770dc0db6c173a4fed20853a5a3f6bc30065;2018-01-11;2018;1;1
dcd5c767626cfe2e1110821e01caa69e8f11f71529d03a4fbfae046afd582fd1;2018-12-04;2018;12;4
b9ce38a120cb60f3961be962146941b49610fed6953997963ef4f8a4ce151e18;2018-01-02;2018;1;1
e092e9c4e3194665546104dc8295ea2ca02f01d53449565becf6d07383e70f1d;2019-01-21;2019;1;1
179d853fc7bcd1f3771c744570deafe01aa4816b49a3172da1a3408928b5115d;2017-12-31;2017;12;4
b716d6db35ca2623bfc0ffd5b83ae44a5e148f9787fa630b542ce39d3b58a9d6;2018-04-22;2018;4;2
45717c57348a14bab17f5d79167bf199e02d61df8a07e4b62109ce0ed45096c6;2017-06-28;2017;6;2
0aca43f28a4b5c49c53e3813354e9e5fee88bb90f067d1370703482be6557e60;2018-05-05;2018;5;2
e843ff697f710cf04a6815676374b972a28c90a01a1017e869f9f92bd9bbf04c;2017-08-10;2017;8;3
